"OBJECT_NAME";"OBJECT_TYPE"
"LDAP_UTILITY";"PACKAGE BODY"
"MASTER_UTILITY";"PACKAGE BODY"
"MASTER_UTILITY_AD4";"PACKAGE BODY"
"MODULI_TPK";"PACKAGE BODY"
"OMONIMIE_GESTITE_PKG";"PACKAGE BODY"
"OMONIMIE_GESTITE_TPK";"PACKAGE BODY"
"OS_UTILS";"PACKAGE BODY"
"PARAMETRI_RICHIESTA_TPK";"PACKAGE BODY"
"PROGETTI_TPK";"PACKAGE BODY"
"PROVINCIA";"PACKAGE BODY"
"REGIONE";"PACKAGE BODY"
"REGIONI_TPK";"PACKAGE BODY"
"REGISTRO_AD4_PKG";"PACKAGE BODY"
"REGISTRO_PAC";"PACKAGE BODY"
"REGISTRO_PAC_ORIG";"PACKAGE BODY"
"REGISTRO_PAC_PROVA";"PACKAGE BODY"
"REGISTRO_UTILITY";"PACKAGE BODY"
"RICHIESTE_ABILITAZIONE_TPK";"PACKAGE BODY"
"RUOLI_TPK";"PACKAGE BODY"
"SERVIZI_PKG";"PACKAGE BODY"
"SERVIZI_TPK";"PACKAGE BODY"
"SESSIONI_PKG";"PACKAGE BODY"
"SI4";"PACKAGE BODY"
"SI4AU";"PACKAGE BODY"
"SI4AU_ORIG";"PACKAGE BODY"
"SI4AUPLSQLJ";"PACKAGE BODY"
"SI4CIM";"PACKAGE BODY"
"SI4CIMPLSQLJ";"PACKAGE BODY"
"SI4_USER_SOURCE_PKG";"PACKAGE BODY"
"SI4_USER_SOURCE_TPK";"PACKAGE BODY"
"SI4_XML";"PACKAGE BODY"
"SOGGETTO";"PACKAGE BODY"
"SO4_UTIL";"PACKAGE BODY"
"SPAZIO_CONTROLLO_OCCUPAZIONE";"PACKAGE BODY"
"SPID_HANDLER";"PACKAGE BODY"
"SPORTELLI_TPK";"PACKAGE BODY"
"STATI_TERRITORI_PKG";"PACKAGE BODY"
"STATI_TERRITORI_TPK";"PACKAGE BODY"
"USER_INTEGRAZIONI_AD4";"PACKAGE BODY"
"UTENTE";"PACKAGE BODY"
"UTENTE_GRUPPO";"PACKAGE BODY"
"UTENTI_PKG";"PACKAGE BODY"
"UTENTI_PRIVACY_TPK";"PACKAGE BODY"
"UTENTI_SALT_PKG";"PACKAGE BODY"
"UTENTI_SALT_TPK";"PACKAGE BODY"
"UTENTI_VERIFICHE_SISTEMAZIONI";"PACKAGE BODY"
"UTILITYPACKAGE";"PACKAGE BODY"
"XMLDOM";"PACKAGE BODY"
"XMLGEN";"PACKAGE BODY"
"XMLPARSER";"PACKAGE BODY"
"XSLPROCESSOR";"PACKAGE BODY"
"AGGIORNA_BS";"PROCEDURE"
"AGGIORNA_BS_PROVA";"PROCEDURE"
"AMV_ABILITAZIONI_PD";"PROCEDURE"
"AMV_VOCI_PD";"PROCEDURE"
"AMV_VOCI_PIU";"PROCEDURE"
"ASL_COMUNE_DEL_RRI";"PROCEDURE"
"ASL_COMUNE_PD";"PROCEDURE"
"ASL_COMUNE_PI";"PROCEDURE"
"ASL_COMUNE_PU";"PROCEDURE"
"ASL_COMUNE_RRI";"PROCEDURE"
"ASL_PD";"PROCEDURE"
"ASL_PU";"PROCEDURE"
"BANCHE_PD";"PROCEDURE"
"BANCHE_PU";"PROCEDURE"
"CARATTERISTICHE_ACCESSO_PI";"PROCEDURE"
"CARATTERISTICHE_ACCESSO_PM";"PROCEDURE"
"CARATTERISTICHE_ACCESSO_PU";"PROCEDURE"
